dataset,classifier,hyperparameter,metric,value
no_preprocessing,LogReg,0.03,recall,0.36009679142415085
no_preprocessing,LogReg,0.03,precision,0.25050018959059667
no_preprocessing,LogReg,0.03,fscore,0.18276397319474996
no_preprocessing,LogReg,0.1,recall,0.3500768989906432
no_preprocessing,LogReg,0.1,precision,0.25091346952965365
no_preprocessing,LogReg,0.1,fscore,0.17511132966897505
no_preprocessing,LogReg,1.0,recall,0.34488482260034414
no_preprocessing,LogReg,1.0,precision,0.2522406447323487
no_preprocessing,LogReg,1.0,fscore,0.17001706062333488
no_preprocessing,LogReg,10.0,recall,0.24563141218008733
no_preprocessing,LogReg,10.0,precision,0.25254947198801464
no_preprocessing,LogReg,10.0,fscore,0.19012212889611171
no_preprocessing,LogReg,30.0,recall,0.3837368761451926
no_preprocessing,LogReg,30.0,precision,0.25187557518691345
no_preprocessing,LogReg,30.0,fscore,0.1736182341235859
no_preprocessing,LogReg,0.03,recall,0.34386988208596814
no_preprocessing,LogReg,0.03,precision,0.2509041803773896
no_preprocessing,LogReg,0.03,fscore,0.16678914966936703
no_preprocessing,LogReg,0.1,recall,0.33637364373855555
no_preprocessing,LogReg,0.1,precision,0.250637133784695
no_preprocessing,LogReg,0.1,fscore,0.16734717965217277
no_preprocessing,LogReg,1.0,recall,0.2615436743289374
no_preprocessing,LogReg,1.0,precision,0.24962511555623473
no_preprocessing,LogReg,1.0,fscore,0.18179620411960634
no_preprocessing,LogReg,10.0,recall,0.24756091571082955
no_preprocessing,LogReg,10.0,precision,0.2502311482936652
no_preprocessing,LogReg,10.0,fscore,0.1763819817108172
no_preprocessing,LogReg,30.0,recall,0.28065486672788337
no_preprocessing,LogReg,30.0,precision,0.25033222781529973
no_preprocessing,LogReg,30.0,fscore,0.1754483164100074
no_preprocessing,LogReg,0.03,recall,0.3462613841653594
no_preprocessing,LogReg,0.03,precision,0.25135680564874124
no_preprocessing,LogReg,0.03,fscore,0.17761383648597684
no_preprocessing,LogReg,0.1,recall,0.3391465615919697
no_preprocessing,LogReg,0.1,precision,0.2511638784080823
no_preprocessing,LogReg,0.1,fscore,0.1716568646226677
no_preprocessing,LogReg,1.0,recall,0.3662968450786144
no_preprocessing,LogReg,1.0,precision,0.2520556928935621
no_preprocessing,LogReg,1.0,fscore,0.18107652713458344
no_preprocessing,LogReg,10.0,recall,0.3145979879800824
no_preprocessing,LogReg,10.0,precision,0.25124411025555654
no_preprocessing,LogReg,10.0,fscore,0.1753313018925015
no_preprocessing,LogReg,30.0,recall,0.35623831783748106
no_preprocessing,LogReg,30.0,precision,0.25171315432304886
no_preprocessing,LogReg,30.0,fscore,0.1821815053407767
no_preprocessing,LogReg,0.03,recall,0.48229279164338096
no_preprocessing,LogReg,0.03,precision,0.2521995204385611
no_preprocessing,LogReg,0.03,fscore,0.1683671828734076
no_preprocessing,LogReg,0.1,recall,0.3796770204956157
no_preprocessing,LogReg,0.1,precision,0.25212940381453336
no_preprocessing,LogReg,0.1,fscore,0.10942759156246623
no_preprocessing,LogReg,1.0,recall,0.37861847543455174
no_preprocessing,LogReg,1.0,precision,0.25175076884451014
no_preprocessing,LogReg,1.0,fscore,0.16533910510205835
no_preprocessing,LogReg,10.0,recall,0.27245548985641627
no_preprocessing,LogReg,10.0,precision,0.25109210949232713
no_preprocessing,LogReg,10.0,fscore,0.17715065807822403
no_preprocessing,LogReg,30.0,recall,0.2839285770440958
no_preprocessing,LogReg,30.0,precision,0.25023357716670774
no_preprocessing,LogReg,30.0,fscore,0.18565607885330995
no_preprocessing,LogReg,0.03,recall,0.3635431884737694
no_preprocessing,LogReg,0.03,precision,0.2537235034146533
no_preprocessing,LogReg,0.03,fscore,0.18785866124857442
no_preprocessing,LogReg,0.1,recall,0.3532068986791687
no_preprocessing,LogReg,0.1,precision,0.2515345957096016
no_preprocessing,LogReg,0.1,fscore,0.18954511336746524
no_preprocessing,LogReg,1.0,recall,0.3233506156711165
no_preprocessing,LogReg,1.0,precision,0.2530444033239782
no_preprocessing,LogReg,1.0,fscore,0.18917727417690544
no_preprocessing,LogReg,10.0,recall,0.3487369600036898
no_preprocessing,LogReg,10.0,precision,0.2523213988569105
no_preprocessing,LogReg,10.0,fscore,0.1847333989490272
no_preprocessing,LogReg,30.0,recall,0.33702057086372456
no_preprocessing,LogReg,30.0,precision,0.2506058216296842
no_preprocessing,LogReg,30.0,fscore,0.18480152265616862
no_preprocessing,LogReg,0.03,recall,0.27345361774241084
no_preprocessing,LogReg,0.03,precision,0.2506312595566794
no_preprocessing,LogReg,0.03,fscore,0.1760490430630537
no_preprocessing,LogReg,0.1,recall,0.39487021599090566
no_preprocessing,LogReg,0.1,precision,0.25137703439788
no_preprocessing,LogReg,0.1,fscore,0.1800614483224482
no_preprocessing,LogReg,1.0,recall,0.3841186950023157
no_preprocessing,LogReg,1.0,precision,0.2511468020742823
no_preprocessing,LogReg,1.0,fscore,0.18122342729861585
no_preprocessing,LogReg,10.0,recall,0.386856737611048
no_preprocessing,LogReg,10.0,precision,0.2522998311730578
no_preprocessing,LogReg,10.0,fscore,0.18926920575094497
no_preprocessing,LogReg,30.0,recall,0.39786680034524863
no_preprocessing,LogReg,30.0,precision,0.2510446186370108
no_preprocessing,LogReg,30.0,fscore,0.1884369022474332
no_preprocessing,LogReg,0.03,recall,0.25029472443265544
no_preprocessing,LogReg,0.03,precision,0.2520213365771812
no_preprocessing,LogReg,0.03,fscore,0.15169147585129433
no_preprocessing,LogReg,0.1,recall,0.3390178308281756
no_preprocessing,LogReg,0.1,precision,0.2527063654549047
no_preprocessing,LogReg,0.1,fscore,0.1846424339596459
no_preprocessing,LogReg,1.0,recall,0.3421366468780262
no_preprocessing,LogReg,1.0,precision,0.25224131981557807
no_preprocessing,LogReg,1.0,fscore,0.18593661212297277
no_preprocessing,LogReg,10.0,recall,0.40814018357121806
no_preprocessing,LogReg,10.0,precision,0.2524030681748614
no_preprocessing,LogReg,10.0,fscore,0.18565721849826333
no_preprocessing,LogReg,30.0,recall,0.421878026188371
no_preprocessing,LogReg,30.0,precision,0.2525450182602067
no_preprocessing,LogReg,30.0,fscore,0.2151344011172794
no_preprocessing,LogReg,0.03,recall,0.2408635425876805
no_preprocessing,LogReg,0.03,precision,0.2505820122961914
no_preprocessing,LogReg,0.03,fscore,0.1610992950799359
no_preprocessing,LogReg,0.1,recall,0.23228232495473874
no_preprocessing,LogReg,0.1,precision,0.25020821825867623
no_preprocessing,LogReg,0.1,fscore,0.18381628662241128
no_preprocessing,LogReg,1.0,recall,0.23361595301250476
no_preprocessing,LogReg,1.0,precision,0.2504447384444178
no_preprocessing,LogReg,1.0,fscore,0.17843365281667356
no_preprocessing,LogReg,10.0,recall,0.25880436613195235
no_preprocessing,LogReg,10.0,precision,0.2520942144005547
no_preprocessing,LogReg,10.0,fscore,0.1876779858041743
no_preprocessing,LogReg,30.0,recall,0.22419634962738408
no_preprocessing,LogReg,30.0,precision,0.25003621495344514
no_preprocessing,LogReg,30.0,fscore,0.16874075212690834
no_preprocessing,LogReg,0.03,recall,0.3291035210584201
no_preprocessing,LogReg,0.03,precision,0.25064634697890026
no_preprocessing,LogReg,0.03,fscore,0.18006345846402844
no_preprocessing,LogReg,0.1,recall,0.29094546789300785
no_preprocessing,LogReg,0.1,precision,0.2505222658458735
no_preprocessing,LogReg,0.1,fscore,0.1791570522784664
no_preprocessing,LogReg,1.0,recall,0.3237187349492858
no_preprocessing,LogReg,1.0,precision,0.25217661097506605
no_preprocessing,LogReg,1.0,fscore,0.18639723141472891
no_preprocessing,LogReg,10.0,recall,0.3092948717948718
no_preprocessing,LogReg,10.0,precision,0.24996010045736647
no_preprocessing,LogReg,10.0,fscore,0.18321693612390547
no_preprocessing,LogReg,30.0,recall,0.3401368177309094
no_preprocessing,LogReg,30.0,precision,0.25069698033587323
no_preprocessing,LogReg,30.0,fscore,0.17711660826830533
no_preprocessing,LogReg,0.03,recall,0.26978798261125847
no_preprocessing,LogReg,0.03,precision,0.25029998355806066
no_preprocessing,LogReg,0.03,fscore,0.17198119077784754
no_preprocessing,LogReg,0.1,recall,0.32881620966408603
no_preprocessing,LogReg,0.1,precision,0.25079327805516494
no_preprocessing,LogReg,0.1,fscore,0.17345420582894686
no_preprocessing,LogReg,1.0,recall,0.318745821742037
no_preprocessing,LogReg,1.0,precision,0.25202324506032436
no_preprocessing,LogReg,1.0,fscore,0.16019936334887197
no_preprocessing,LogReg,10.0,recall,0.30801601036567394
no_preprocessing,LogReg,10.0,precision,0.2508761550730134
no_preprocessing,LogReg,10.0,fscore,0.1768378205556264
no_preprocessing,LogReg,30.0,recall,0.28375830260291995
no_preprocessing,LogReg,30.0,precision,0.2509138093528776
no_preprocessing,LogReg,30.0,fscore,0.17068744733822064
freq_filt,LogReg,0.03,recall,0.3858120794867783
freq_filt,LogReg,0.03,precision,0.2538575185694042
freq_filt,LogReg,0.03,fscore,0.19025625251728817
freq_filt,LogReg,0.1,recall,0.37077889479997916
freq_filt,LogReg,0.1,precision,0.25321072548163687
freq_filt,LogReg,0.1,fscore,0.18879975834257168
freq_filt,LogReg,1.0,recall,0.34975942731966825
freq_filt,LogReg,1.0,precision,0.2515573029521823
freq_filt,LogReg,1.0,fscore,0.18729845234683398
freq_filt,LogReg,10.0,recall,0.35520751838522924
