dataset,classifier,hyperparameter,metric,value
no_preprocessing,LogReg,30.0,recall,0.3837368761451926
no_preprocessing,LogReg,30.0,precision,0.25187557518691345
no_preprocessing,LogReg,30.0,fscore,0.1736182341235859
no_preprocessing,LogReg,30.0,recall,0.28065486672788337
no_preprocessing,LogReg,30.0,precision,0.2503322278152997
no_preprocessing,LogReg,30.0,fscore,0.1754483164100074
no_preprocessing,LogReg,30.0,recall,0.35623831783748106
no_preprocessing,LogReg,30.0,precision,0.2517131543230489
no_preprocessing,LogReg,30.0,fscore,0.1821815053407767
no_preprocessing,LogReg,30.0,recall,0.2839285770440958
no_preprocessing,LogReg,30.0,precision,0.2502335771667077
no_preprocessing,LogReg,30.0,fscore,0.18565607885330995
no_preprocessing,LogReg,30.0,recall,0.33702057086372456
no_preprocessing,LogReg,30.0,precision,0.2506058216296842
no_preprocessing,LogReg,30.0,fscore,0.18480152265616864
no_preprocessing,LogReg,30.0,recall,0.39786680034524863
no_preprocessing,LogReg,30.0,precision,0.2510446186370108
no_preprocessing,LogReg,30.0,fscore,0.1884369022474332
no_preprocessing,LogReg,30.0,recall,0.42187802618837106
no_preprocessing,LogReg,30.0,precision,0.2525450182602067
no_preprocessing,LogReg,30.0,fscore,0.2151344011172794
no_preprocessing,LogReg,30.0,recall,0.22419634962738408
no_preprocessing,LogReg,30.0,precision,0.25003621495344514
no_preprocessing,LogReg,30.0,fscore,0.16874075212690834
no_preprocessing,LogReg,30.0,recall,0.3401368177309094
no_preprocessing,LogReg,30.0,precision,0.25069698033587323
no_preprocessing,LogReg,30.0,fscore,0.17711660826830533
no_preprocessing,LogReg,30.0,recall,0.28375830260291995
no_preprocessing,LogReg,30.0,precision,0.2509138093528776
no_preprocessing,LogReg,30.0,fscore,0.17068744733822064
no_preprocessing,SVM,4.0,recall,0.25
no_preprocessing,SVM,4.0,precision,0.2487355226506377
no_preprocessing,SVM,4.0,fscore,0.24936615836854675
no_preprocessing,SVM,4.0,recall,0.25
no_preprocessing,SVM,4.0,precision,0.2487355226506377
no_preprocessing,SVM,4.0,fscore,0.24936615836854675
no_preprocessing,SVM,4.0,recall,0.25
no_preprocessing,SVM,4.0,precision,0.2487355226506377
no_preprocessing,SVM,4.0,fscore,0.24936615836854675
no_preprocessing,SVM,4.0,recall,0.24955794592205116
no_preprocessing,SVM,4.0,precision,0.2487332941694816
no_preprocessing,SVM,4.0,fscore,0.24914493766319734
no_preprocessing,SVM,4.0,recall,0.25
no_preprocessing,SVM,4.0,precision,0.2487355226506377
no_preprocessing,SVM,4.0,fscore,0.24936615836854675
no_preprocessing,SVM,4.0,recall,0.25
no_preprocessing,SVM,4.0,precision,0.2487171968919513
no_preprocessing,SVM,4.0,fscore,0.24935694862938196
no_preprocessing,SVM,4.0,recall,0.25
no_preprocessing,SVM,4.0,precision,0.2487354299538157
no_preprocessing,SVM,4.0,fscore,0.2493661117848087
no_preprocessing,SVM,4.0,recall,0.25
no_preprocessing,SVM,4.0,precision,0.2487354299538157
no_preprocessing,SVM,4.0,fscore,0.2493661117848087
no_preprocessing,SVM,4.0,recall,0.25
no_preprocessing,SVM,4.0,precision,0.2487354299538157
no_preprocessing,SVM,4.0,fscore,0.2493661117848087
no_preprocessing,SVM,4.0,recall,0.25
no_preprocessing,SVM,4.0,precision,0.2487354299538157
no_preprocessing,SVM,4.0,fscore,0.2493661117848087
no_preprocessing,MNB,0.0,recall,0.2498894864805128
no_preprocessing,MNB,0.0,precision,0.24875320865419875
no_preprocessing,MNB,0.0,fscore,0.2493200529256101
no_preprocessing,MNB,0.0,recall,0.2472555809327341
no_preprocessing,MNB,0.0,precision,0.2487215593270585
no_preprocessing,MNB,0.0,fscore,0.24798640360600016
no_preprocessing,MNB,0.0,recall,0.2477528917704266
no_preprocessing,MNB,0.0,precision,0.2487241124260355
no_preprocessing,MNB,0.0,fscore,0.2482375521352379
no_preprocessing,MNB,0.0,recall,0.28860912596085364
no_preprocessing,MNB,0.0,precision,0.2517349710074053
no_preprocessing,MNB,0.0,fscore,0.2533591754889592
no_preprocessing,MNB,0.0,recall,0.2708333333333333
no_preprocessing,MNB,0.0,precision,0.2905116358658453
no_preprocessing,MNB,0.0,fscore,0.2771989251922362
no_preprocessing,MNB,0.0,recall,0.2482316534040672
no_preprocessing,MNB,0.0,precision,0.2487081057138639
no_preprocessing,MNB,0.0,fscore,0.2484696511542149
no_preprocessing,MNB,0.0,recall,0.3104369289714117
no_preprocessing,MNB,0.0,precision,0.2555736748283332
no_preprocessing,MNB,0.0,fscore,0.2605712660315266
no_preprocessing,MNB,0.0,recall,0.2894009725906277
no_preprocessing,MNB,0.0,precision,0.2527607280260432
no_preprocessing,MNB,0.0,fscore,0.25554572606826736
no_preprocessing,MNB,0.0,recall,0.28619584438549955
no_preprocessing,MNB,0.0,precision,0.2504354519562623
no_preprocessing,MNB,0.0,fscore,0.24984345771530345
no_preprocessing,MNB,0.0,recall,0.2343611847922193
no_preprocessing,MNB,0.0,precision,0.2488655034817307
no_preprocessing,MNB,0.0,fscore,0.24139566652753006
freq_filt,LogReg,30.0,recall,0.3784599436707871
freq_filt,LogReg,30.0,precision,0.2543368311474777
freq_filt,LogReg,30.0,fscore,0.18989790439990065
freq_filt,LogReg,30.0,recall,0.2663662642578305
freq_filt,LogReg,30.0,precision,0.252352106480892
freq_filt,LogReg,30.0,fscore,0.18591260072944246
freq_filt,LogReg,30.0,recall,0.3248876123876124
freq_filt,LogReg,30.0,precision,0.2513309072224933
freq_filt,LogReg,30.0,fscore,0.183846996623288
freq_filt,LogReg,30.0,recall,0.3147176618562161
freq_filt,LogReg,30.0,precision,0.2517888025245054
freq_filt,LogReg,30.0,fscore,0.1811781311641696
freq_filt,LogReg,30.0,recall,0.4025930394906299
freq_filt,LogReg,30.0,precision,0.2521276147279895
freq_filt,LogReg,30.0,fscore,0.18574454769318804
freq_filt,LogReg,30.0,recall,0.33766900769912817
freq_filt,LogReg,30.0,precision,0.2511663649053538
freq_filt,LogReg,30.0,fscore,0.18400852891280955
freq_filt,LogReg,30.0,recall,0.33335785700243536
freq_filt,LogReg,30.0,precision,0.25147680062036193
freq_filt,LogReg,30.0,fscore,0.1842121892203992
freq_filt,LogReg,30.0,recall,0.26063173774017145
freq_filt,LogReg,30.0,precision,0.2518702482790611
freq_filt,LogReg,30.0,fscore,0.18472647614150148
freq_filt,LogReg,30.0,recall,0.3647206554236521
freq_filt,LogReg,30.0,precision,0.2512145159672402
freq_filt,LogReg,30.0,fscore,0.18577667485129526
freq_filt,LogReg,30.0,recall,0.3290695913441591
freq_filt,LogReg,30.0,precision,0.25232428479133084
freq_filt,LogReg,30.0,fscore,0.18363071728330646
freq_filt,SVM,4.0,recall,0.25
freq_filt,SVM,4.0,precision,0.24871575342465754
freq_filt,SVM,4.0,fscore,0.24935622317596565
freq_filt,SVM,4.0,recall,0.25
freq_filt,SVM,4.0,precision,0.24871575342465754
freq_filt,SVM,4.0,fscore,0.24935622317596565
freq_filt,SVM,4.0,recall,0.25
freq_filt,SVM,4.0,precision,0.24871575342465754
freq_filt,SVM,4.0,fscore,0.24935622317596565
