pair_id,comment,Komentar_2,code,"upit
","pretvaranje int u string
","red sa prioritetom
","pretvaranje string u datum
","sortiranje string liste
","čuvanje liste u datoteku
","postgresql konekcija
","konfuziona matrica
","postavljanje radnog direktorijuma
","grupisanje po izbrojanim podacima
","binomna raspodela
","aes šifrovanje
","linearna regresija
","vreme tolerisanja za prijem na soketu
","upisivanje u csv datoteku
","pretvaranje decimalnog u heksadecimalni broj
","izvoz podataka u excel
","dijagram rasejanja
","pretvaranje json u csv
","lepo ispiši json
","zamena delova datoteke
","klasterizacija metodom k-srednjih vrednosti
","povezivanje na sql server
","html šifrovan string
","određivanje proteklog vremena korišćenjem časovnika
","parsiranje binarne datoteke u prilagođenu klasu
","dohvatanje trenutne ip adrese
","pretvaranje int u bool
","isčitavanje tekstualne datoteke liniju po liniju
","dohvatanje putanje izvršavanja
","odprema json datoteke pomoću HttpClient POST zahteva
","dohvatanje unutrašnjeg svojstva html taga
","pretvaranje string u broj
","formatiranje datuma
","nepromenjivi (readonly) niz
","filtriranje niza
","mapa u json
","parsiranje json datoteke
","dohvati trenutnu vrednost posmatrača
","dohvati naziv za vrednost enumerisanog tipa podatka
","šifriraj url
","kreiraj kolačić
","kako isprazniti niz
","kako dohvatiti današnji datum
","kako štiklirati checkbox
","inicijalizacija niza
","kako obrnuti string
","pročitaj svojstva datoteke
","prekopiraj u klibord
","pretvaranje html stranice u pdf
","konverzija json u xml datoteku
","kako nasumično izabrati broj
","normalna raspodela
","Nelder-Mead optimizacija
","hashset za određivanje broja različitih elemenata
","kako dohvatiti naziv tabele iz baze
","deserializacija json-a
","pronađi int unutar stringa
","dohvatanje jedinstvenog identifikatora trenutnog procesa
","regex ne razlikuje velika i mala slova
","prilagođeni http odgovor greške
","kako odrediti da li je string valida reč
","zamena http entiteta
","sakrij atribute datoteke
","sortiraj više nizova na osnovu redosleda drugih sortiranih nizova
","levenshteinova slicnost stringova
","kako dohvatiti html kod sa veb sajta
","baferisano čitanje teksta čitačem fajlova
","aes šifrovanje u ctr načinu rada
","matrica množenja
","štampanje rezimea modela
","jedinstveni elementi
","izvlačenje podataka iz sadržaja html koda
","toplotna mapa iz 3d koordinata
","dohvatanje svih roditelja xml čvora
","kako rekurzivno raspakovati zip datoteku
","podvuci tekst u label vidžetu
","raspakivanje velikih datoteka
","kopiranje putanje fajla
","dohvati opis http statusnog koda
","nasumično izvuci x stavki iz liste
","konvertuj string datum u yyyymmdd format
","pretvoriti utc vreme u epohu
","sve permutacije liste
","izvuci geografsku širinu i dužinu iz datog unosa
","kako proveriti da je checkbox štikliran
","pretvoriti uint8 niz u sliku
","memoizacija na disk - persistentna memoizacija
","parsiranje argumenata komandne linije
","kako pročitati sadržaj iz .gz zapakovanog fajla
","slanje binarnih podataka preko seriske veze
","otpakovanje podataka iz tekstualne datoteke
","pozicije podstingova u stringu
","čitanje elemenata iz html-a - <td>
","oduzimanje medijana iz svake kolone
","uklanjanja zaglavlja prilikom spajanja nekoliko datoteka
","parsiranje query stringa u url-u
","rangiranje fazi članova na osnovu stepena podudaranja
","izlaz u html datoteku
",kako efikasno pročitati .csv datoteku
cakephp_cakephp_FallbackPasswordHasher_1209," Returns true if the password need to be rehashed, with the first hasher present\n in the list of hashers\n\n @param string $password The password to verify\n @return bool\n"," Returns true if the password need to be rehashed, with the first hasher present",    public function needsRehash(string $password): bool    {        return $this->_hashers[0]->needsRehash($password);    },0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cakephp_cakephp_FormAuthenticate_1211, Checks the fields to ensure they are supplied.\n\n @param \\Cake\\Http\\ServerRequest $request The request that contains login information.\n @param array $fields The fields to be checked.\n @return bool False if the fields have not been supplied. True if they exist.\n, Checks the fields to ensure they are supplied.,"    protected function _checkFields(ServerRequest $request, array $fields): bool    {        foreach ([$fields['username'], $fields['password']] as $field) {            $value = $request->getData($field);            if (empty($value) || !is_string($value)) {                return false;            }        }        return true;    }",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cakephp_cakephp_basics_1171, Command to return the eval-able code to startup PsySH in interactive debugger\\n Works the same way as eval(\\\\Psy\\\\sh());\\n psy/psysh must be loaded in your project\\n\\n ```\\n eval(breakpoint());\\n ```\\n\\n @return string|null\\n @link http://psysh.org/\\n, Command to return the eval-able code to startup PsySH in interactive debugger,"    function breakpoint(): ?string    {        if ((PHP_SAPI === 'cli' || PHP_SAPI === 'phpdbg') && class_exists(PsyShell::class)) {            return 'extract(\Psy\Shell::debug(get_defined_vars(), isset($this) ? $this : null));';        }        trigger_error(            'psy/psysh must be installed and you must be in a CLI environment to use the breakpoint function',            E_USER_WARNING        );        return null;    }",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
composer_composer_Cache_2478, Copy a file out of the cache\n, Copy a file out of the cache,"    public function copyTo($file, $target)    {        if ($this->enabled) {            $file = preg_replace('{[^'.$this->allowlist.']}i', '-', $file);            if (file_exists($this->root . $file)) {                try {                    touch($this->root . $file, filemtime($this->root . $file), time());                } catch (\ErrorException $e) {                    // fallback in case the above failed due to incorrect ownership                    // see https://github.com/composer/composer/issues/4070                    Silencer::call('touch', $this->root . $file);                }                $this->io->writeError('Reading '.$this->root . $file.' from cache', true, IOInterface::DEBUG);                return copy($this->root . $file, $target);            }        }        return false;    }",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
composer_composer_ClassLoader_2573, Turns on searching the include path for class files.\n\n @param bool $useIncludePath\n, Turns on searching the include path for class files.,    public function setUseIncludePath($useIncludePath)    {        $this->useIncludePath = $useIncludePath;    },0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
composer_composer_ClassLoader_2581," Finds the path to the file where the class is defined.\n\n @param string $class The name of the class\n\n @return string|false The path if found, false otherwise\n", Finds the path to the file where the class is defined.,"    public function findFile($class)    {        // class map lookup        if (isset($this->classMap[$class])) {            return $this->classMap[$class];        }        if ($this->classMapAuthoritative || isset($this->missingClasses[$class])) {            return false;        }        if (null !== $this->apcuPrefix) {            $file = apcu_fetch($this->apcuPrefix.$class, $hit);            if ($hit) {                return $file;            }        }        $file = $this->findFileWithExtension($class, '.php');        // Search for Hack files if we are running on HHVM        if (false === $file && defined('HHVM_VERSION')) {            $file = $this->findFileWithExtension($class, '.hh');        }        if (null !== $this->apcuPrefix) {            apcu_add($this->apcuPrefix.$class, $file);        }        if (false === $file) {            // Remember that this class does not exist.            $this->missingClasses[$class] = true;        }        return $file;    }",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
composer_composer_Compiler_2479, The Compiler class compiles composer into a phar\n\n @author Fabien Potencier <fabien@symfony.com>\n @author Jordi Boggiano <j.boggiano@seld.be>\n, The Compiler class compiles composer into a phar,"class Compiler{    private $version;    private $branchAliasVersion = '';    private $versionDate;    /**     * Compiles composer into a single phar file     *     * @param  string            $pharFile The full path to the file to create     * @throws \RuntimeException     */    public function compile($pharFile = 'composer.phar')    {        if (file_exists($pharFile)) {            unlink($pharFile);        }        $process = new Process('git log --pretty=""%H"" -n1 HEAD', __DIR__);        if ($process->run() != 0) {            throw new \RuntimeException('Can\'t run git log. You must ensure to run compile from composer git repository clone and that git binary is available.');        }        $this->version = trim($process->getOutput());        $process = new Process('git log -n1 --pretty=%ci HEAD', __DIR__);        if ($process->run() != 0) {            throw new \RuntimeException('Can\'t run git log. You must ensure to run compile from composer git repository clone and that git binary is available.');        }        $this->versionDate = new \DateTime(trim($process->getOutput()));        $this->versionDate->setTimezone(new \DateTimeZone('UTC'));        $process = new Process('git describe --tags --exact-match HEAD');        if ($process->run() == 0) {            $this->version = trim($process->getOutput());        } else {            // get branch-alias defined in composer.json for dev-master (if any)            $localConfig = __DIR__.'/../../composer.json';            $file = new JsonFile($localConfig);            $localConfig = $file->read();            if (isset($localConfig['extra']['branch-alias']['dev-master'])) {                $this->branchAliasVersion = $localConfig['extra']['branch-alias']['dev-master'];            }        }        $phar = new \Phar($pharFile, 0, 'composer.phar');        $phar->setSignatureAlgorithm(\Phar::SHA1);        $phar->startBuffering();        $finderSort = function ($a, $b) {            return strcmp(strtr($a->getRealPath(), '\\', '/'), strtr($b->getRealPath(), '\\', '/'));        };        // Add Composer sources        $finder = new Finder();        $finder->files()            ->ignoreVCS(true)            ->name('*.php')            ->notName('Compiler.php')            ->notName('ClassLoader.php')            ->notName('InstalledVersions.php')            ->in(__DIR__.'/..')            ->sort($finderSort)        ;        foreach ($finder as $file) {            $this->addFile($phar, $file);        }        // Add runtime utilities separately to make sure they retains the docblocks as these will get copied into projects        $this->addFile($phar, new \SplFileInfo(__DIR__ . '/Autoload/ClassLoader.php'), false);        $this->addFile($phar, new \SplFileInfo(__DIR__ . '/InstalledVersions.php'), false);        // Add Composer resources        $finder = new Finder();        $finder->files()            ->in(__DIR__.'/../../res')            ->sort($finderSort)        ;        foreach ($finder as $file) {            $this->addFile($phar, $file, false);        }        // Add vendor files        $finder = new Finder();        $finder->files()            ->ignoreVCS(true)            ->notPath('/\/(composer\.(json|lock)|[A-Z]+\.md|\.gitignore|appveyor.yml|phpunit\.xml\.dist|phpstan\.neon\.dist|phpstan-config\.neon)$/')            ->notPath('/bin\/(jsonlint|validate-json|simple-phpunit)(\.bat)?$/')            ->notPath('symfony/debug/Resources/ext/')            ->notPath('justinrainbow/json-schema/demo/')            ->notPath('justinrainbow/json-schema/dist/')            ->notPath('composer/installed.json')            ->notPath('composer/LICENSE')            ->exclude('Tests')            ->exclude('tests')            ->exclude('docs')            ->in(__DIR__.'/../../vendor/')            ->sort($finderSort)        ;        $extraFiles = array(            realpath(__DIR__ . '/../../vendor/composer/spdx-licenses/res/spdx-exceptions.json'),            realpath(__DIR__ . '/../../vendor/composer/spdx-licenses/res/spdx-licenses.json'),            realpath(CaBundle::getBundledCaBundlePath()),            realpath(__DIR__ . '/../../vendor/symfony/console/Resources/bin/hiddeninput.exe'),            realpath(__DIR__ . '/../../vendor/symfony/polyfill-mbstring/Resources/mb_convert_variables.php8'),        );        $unexpectedFiles = array();        foreach ($finder as $file) {            if (in_array(realpath($file), $extraFiles, true)) {                unset($extraFiles[array_search(realpath($file), $extraFiles, true)]);            } elseif (!preg_match('{([/\\\\]LICENSE|\.php)$}', $file)) {                $unexpectedFiles[] = (string) $file;            }            if (preg_match('{\.php[\d.]*$}', $file)) {                $this->addFile($phar, $file);            } else {                $this->addFile($phar, $file, false);            }        }        if ($extraFiles) {            throw new \RuntimeException('These files were expected but not added to the phar, they might be excluded or gone from the source package:'.PHP_EOL.implode(PHP_EOL, $extraFiles));        }        if ($unexpectedFiles) {            throw new \RuntimeException('These files were unexpectedly added to the phar, make sure they are excluded or listed in $extraFiles:'.PHP_EOL.implode(PHP_EOL, $unexpectedFiles));        }        // Add bin/composer        $this->addComposerBin($phar);        // Stubs        $phar->setStub($this->getStub());        $phar->stopBuffering();        // disabled for interoperability with systems without gzip ext        // $phar->compressFiles(\Phar::GZ);        $this->addFile($phar, new \SplFileInfo(__DIR__.'/../../LICENSE'), false);        unset($phar);        // re-sign the phar with reproducible timestamp / signature        $util = new Timestamps($pharFile);        $util->updateTimestamps($this->versionDate);        $util->save($pharFile, \Phar::SHA1);        Linter::lint($pharFile);    }",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
composer_composer_Config_2509, Replaces {$refs} inside a config string\n\n @param  string|int|null $value a config string that can contain {$refs-to-other-config}\n @param  int             $flags Options (see class constants)\n @return string|int|null\n, Replaces {$refs} inside a config string,"    private function process($value, $flags)    {        $config = $this;        if (!is_string($value)) {            return $value;        }        return preg_replace_callback('#\{\$(.+)\}#', function ($match) use ($config, $flags) {            return $config->get($match[1], $flags);        }, $value);",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
composer_composer_Config_2511, Reads the value of a Composer environment variable\n\n This should be used to read COMPOSER_ environment variables\n that overload config values.\n\n @param  string      $var\n @return string|bool\n, Reads the value of a Composer environment variable,    private function getComposerEnv($var)    {        if ($this->useEnvironment) {            return getenv($var);        }        return false;    },0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
composer_composer_Config_2512," Used by long-running custom scripts in composer.json\n\n ""scripts"": {\n   ""watch"": [\n     ""Composer\\\\Config::disableProcessTimeout"",\n     ""vendor/bin/long-running-script --watch""\n   ]\n }\n", Used by long-running custom scripts in composer.json,    public static function disableProcessTimeout()    {        // Override global timeout set earlier by environment or config        ProcessExecutor::setTimeout(0);    },0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
