pair_id,comment,Komentar,code,"upit
","pretvaranje int u string
","red sa prioritetom
","pretvaranje string u datum
","sortiranje string liste
","čuvanje liste u datoteku
","postgresql konekcija
","konfuziona matrica
","postavljanje radnog direktorijuma
","grupisanje po izbrojanim podacima
","binomna raspodela
","aes šifrovanje
","linearna regresija
","vreme tolerisanja za prijem na soketu
","upisivanje u csv datoteku
","pretvaranje decimalnog u heksadecimalni broj
","izvoz podataka u excel
","dijagram rasejanja
","pretvaranje json u csv
","lepo ispiši json
","zamena delova datoteke
","klasterizacija metodom k-srednjih vrednosti
","povezivanje na sql server
","html šifrovan string
","određivanje proteklog vremena korišćenjem časovnika
","parsiranje binarne datoteke u prilagođenu klasu
","dohvatanje trenutne ip adrese
","pretvaranje int u bool
","isčitavanje tekstualne datoteke liniju po liniju
","dohvatanje putanje izvršavanja
","odprema json datoteke pomoću HttpClient POST zahteva
","dohvatanje unutrašnjeg svojstva html taga
","pretvaranje string u broj
","formatiranje datuma
","nepromenjivi (readonly) niz
","filtriranje niza
","mapa u json
","parsiranje json datoteke
","dohvati trenutnu vrednost posmatrača
","dohvati naziv za vrednost enumerisanog tipa podatka
","šifriraj url
","kreiraj kolačić
","kako isprazniti niz
","kako dohvatiti današnji datum
","kako štiklirati checkbox
","inicijalizacija niza
","kako obrnuti string
","pročitaj svojstva datoteke
","prekopiraj u klibord
","pretvaranje html stranice u pdf
","konverzija json u xml datoteku
","kako nasumično izabrati broj
","normalna raspodela
","Nelder-Mead optimizacija
","hashset za određivanje broja različitih elemenata
","kako dohvatiti naziv tabele iz baze
","deserializacija json-a
","pronađi int unutar stringa
","dohvatanje jedinstvenog identifikatora trenutnog procesa
","regex ne razlikuje velika i mala slova
","prilagođeni http odgovor greške
","kako odrediti da li je string valida reč
","zamena http entiteta
","sakrij atribute datoteke
","sortiraj više nizova na osnovu redosleda drugih sortiranih nizova
","levenshteinova slicnost stringova
","kako dohvatiti html kod sa veb sajta
","baferisano čitanje teksta čitačem fajlova
","aes šifrovanje u ctr načinu rada
","matrica množenja
","štampanje rezimea modela
","jedinstveni elementi
","izvlačenje podataka iz sadržaja html koda
","toplotna mapa iz 3d koordinata
","dohvatanje svih roditelja xml čvora
","kako rekurzivno raspakovati zip datoteku
","podvuci tekst u label vidžetu
","raspakivanje velikih datoteka
","kopiranje putanje fajla
","dohvati opis http statusnog koda
","nasumično izvuci x stavki iz liste
","konvertuj string datum u yyyymmdd format
","pretvoriti utc vreme u epohu
","sve permutacije liste
","izvuci geografsku širinu i dužinu iz datog unosa
","kako proveriti da je checkbox štikliran
","pretvoriti uint8 niz u sliku
","memoizacija na disk - persistentna memoizacija
","parsiranje argumenata komandne linije
","kako pročitati sadržaj iz .gz zapakovanog fajla
","slanje binarnih podataka preko seriske veze
","otpakovanje podataka iz tekstualne datoteke
","pozicije podstingova u stringu
","čitanje elemenata iz html-a - <td>
","oduzimanje medijana iz svake kolone
","uklanjanja zaglavlja prilikom spajanja nekoliko datoteka
","parsiranje query stringa u url-u
","rangiranje fazi članova na osnovu stepena podudaranja
","izlaz u html datoteku
",kako efikasno pročitati .csv datoteku
PrestaShop_PrestaShop_Alias_808, Class AliasCore.\\\\n,Glavna klasa za pseudonim.,"class AliasCore extends ObjectModel{    public $alias;    public $search;    public $active = true;    /**     * @see ObjectModel::$definition     */    public static $definition = [        'table' => 'alias',        'primary' => 'id_alias',        'fields' => [            'search' => ['type' => self::TYPE_STRING, 'validate' => 'isValidSearch', 'required' => true, 'size' => 255],            'alias' => ['type' => self::TYPE_STRING, 'validate' => 'isValidSearch', 'required' => true, 'size' => 255],            'active' => ['type' => self::TYPE_BOOL, 'validate' => 'isBool'],        ],    ];    /**     * AliasCore constructor.     *     * @param int|null $id Alias ID     * @param string|null $alias Alias     * @param string|null $search Search string     * @param int|null $idLang Language ID     */    public function __construct($id = null, $alias = null, $search = null, $idLang = null)    {        $this->def = Alias::getDefinition($this);        $this->setDefinitionRetrocompatibility();        if ($id) {            parent::__construct($id);        } elseif ($alias && Validate::isValidSearch($alias)) {            if (!Alias::isFeatureActive()) {                $this->alias = trim($alias);                $this->search = trim($search);            } else {                $row = Db::getInstance(_PS_USE_SQL_SLAVE_)->getRow('SELECT a.id_alias, a.search, a.aliasFROM `' . _DB_PREFIX_ . 'alias` aWHERE `alias` = \'' . pSQL($alias) . '\' AND `active` = 1');                if ($row) {                    $this->id = (int) $row['id_alias'];                    $this->search = $search ? trim($search) : $row['search'];                    $this->alias = $row['alias'];                } else {                    $this->alias = trim($alias);                    $this->search = trim($search);                }            }        }    }    /**     * @see ObjectModel::add();     */    public function add($autoDate = true, $nullValues = false)    {        $this->alias = Tools::replaceAccentedChars($this->alias);        $this->search = Tools::replaceAccentedChars($this->search);        if (parent::add($autoDate, $nullValues)) {            // Set cache of feature detachable to true            Configuration::updateGlobalValue('PS_ALIAS_FEATURE_ACTIVE', '1');            return true;        }        return false;    }    /**     * @see ObjectModel::delete();     */    public function delete()    {        if (parent::delete()) {            // Refresh cache of feature detachable            Configuration::updateGlobalValue('PS_ALIAS_FEATURE_ACTIVE', Alias::isCurrentlyUsed($this->def['table'], true));            return true;        }        return false;    }    /**     * Get all found aliases from DB with search query.     *     * @return string Comma separated aliases     */    public function getAliases()    {        if (!Alias::isFeatureActive()) {            return '';        }        $aliases = Db::getInstance()->executeS('SELECT a.aliasFROM `' . _DB_PREFIX_ . 'alias` aWHERE `search` = \'' . pSQL($this->search) . '\'');        $aliases = array_map('implode', $aliases);        return implode(', ', $aliases);    }    /**     * This method is allow to know if a feature is used or active.     *     * @since 1.5.0.1     *     * @return bool     */    public static function isFeatureActive()    {        return Configuration::get('PS_ALIAS_FEATURE_ACTIVE');    }    /**     * This method is allow to know if a alias exist for AdminImportController.     *     * @param int $idAlias Alias ID     *     * @return bool     *     * @since 1.5.6.0     */    public static function aliasExists($idAlias)    {        $sql = new DbQuery();        $sql->select('a.`id_alias`');        $sql->from('alias', 'a');        $sql->where('a.`id_alias` = ' . (int) $idAlias);        $row = Db::getInstance(_PS_USE_SQL_SLAVE_)->getRow($sql, false);        return isset($row['id_alias']);    }}",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrestaShop_PrestaShop_Attachment_813, Class AttachmentCore.\n,Glavna klasa za priložene fajlove.,"class AttachmentCore extends ObjectModel{    public $file;    public $file_name;    public $file_size;    public $name;    public $mime;    public $description;    /** @var int position Position */    public $position;    /**     * @see ObjectModel::$definition     */    public static $definition = [        'table' => 'attachment',        'primary' => 'id_attachment',        'multilang' => true,        'fields' => [            'file' => ['type' => self::TYPE_STRING, 'validate' => 'isGenericName', 'required' => true, 'size' => 40],            'mime' => ['type' => self::TYPE_STRING, 'validate' => 'isCleanHtml', 'required' => true, 'size' => 128],            'file_name' => ['type' => self::TYPE_STRING, 'validate' => 'isGenericName', 'size' => 128],            'file_size' => ['type' => self::TYPE_INT, 'validate' => 'isUnsignedId'],            /* Lang fields */            'name' => ['type' => self::TYPE_STRING, 'lang' => true, 'validate' => 'isGenericName', 'required' => true, 'size' => 32],            'description' => ['type' => self::TYPE_STRING, 'lang' => true, 'validate' => 'isCleanHtml'],        ],        'associations' => [            'products' => ['type' => self::HAS_MANY, 'field' => 'id_product', 'object' => 'Product', 'association' => 'product_attachment'],        ],    ];    protected $webserviceParameters = [        'objectNodeNames' => 'attachments',        'hidden_fields' => [],        'fields' => [            'file' => [],            'file_name' => [],            'file_size' => [],            'mime' => [],        ],        'associations' => [            'products' => [                'resource' => 'product',                'api' => 'products',                'fields' => [                    'id' => ['required' => true],                ],            ],        ],    ];    /**     * @see ObjectModel::add()     */    public function add($autoDate = true, $nullValues = false)    {        if (file_exists(_PS_DOWNLOAD_DIR_ . $this->file)) {            $this->file_size = filesize(_PS_DOWNLOAD_DIR_ . $this->file);        }        return parent::add($autoDate, $nullValues);    }    /**     * @see ObjectModel::update()     */    public function update($nullValues = false)    {        if (file_exists(_PS_DOWNLOAD_DIR_ . $this->file)) {            $this->file_size = filesize(_PS_DOWNLOAD_DIR_ . $this->file);        }        return parent::update($nullValues);    }    /**     * @see ObjectModel::delete()     */    public function delete()    {        if (file_exists(_PS_DOWNLOAD_DIR_ . $this->file)) {            @unlink(_PS_DOWNLOAD_DIR_ . $this->file);        }        $sql = new DbQuery();        $sql->select('pa.`id_product`');        $sql->from('product_attachment', 'pa');        $sql->where('pa.`id_attachment` = ' . (int) $this->id);        $products = Db::getInstance()->executeS($sql);        Db::getInstance()->delete(            'product_attachment',            '`id_attachment` = ' . (int) $this->id        );        foreach ($products as $product) {            Product::updateCacheAttachment((int) $product['id_product']);        }        return parent::delete();    }    /**     * Delete selection of attachments.     *     * @param array $attachments Attachments     *     * @return bool|int Whether the selection has been successfully deleted     * @todo: Find out if $return can be initialized with true. (breaking change)     */    public function deleteSelection($attachments)    {        $return = 1;        foreach ($attachments as $idAttachment) {            $attachment = new Attachment((int) $idAttachment);            $return &= $attachment->delete();        }        return $return;    }    /**     * Get attachments.     *     * @param int $idLang Language ID     * @param int $idProduct Product ID     * @param bool $include Whether the attachments are included or excluded from the Product ID     *     * @return array|false|mysqli_result|PDOStatement|resource|null Database query result     */    public static function getAttachments($idLang, $idProduct, $include = true)    {        return Db::getInstance()->executeS(            'SELECT *FROM ' . _DB_PREFIX_ . 'attachment aLEFT JOIN ' . _DB_PREFIX_ . 'attachment_lang alON (a.id_attachment = al.id_attachment AND al.id_lang = ' . (int) $idLang . ')WHERE a.id_attachment ' . ($include ? 'IN' : 'NOT IN') . ' (SELECT pa.id_attachmentFROM ' . _DB_PREFIX_ . 'product_attachment paWHERE id_product = ' . (int) $idProduct . ')'        );    }    /**     * Unassociate all products from the current object     *     * @param bool $updateAttachmentCache [default=true] If set to false attachment cache will not be updated     *     * @return bool Deletion result     */    public function deleteAttachments(bool $updateAttachmentCache = true): bool    {        if (0 >= (int) $this->id) {            // Can not delete attachement without id            return false;        }        $res = Db::getInstance()->execute(            'DELETE FROM `' . _DB_PREFIX_ . 'product_attachment` ' .            'WHERE `id_attachment` = ' . (int) $this->id        );        if ($updateAttachmentCache === true) {            $productIds = Db::getInstance()->executeS(                'SELECT `id_product` FROM `' . _DB_PREFIX_ . 'product_attachment` ' .                'WHERE `id_attachment` = ' . (int) $this->id            );            foreach ($productIds as $productId) {                Product::updateCacheAttachment((int) $productId);            }        }        return $res;    }    /**     * Delete Product attachments for the given Product ID.     *     * @param int $idProduct Product ID     *     * @return bool     */    public static function deleteProductAttachments($idProduct)    {        $res = Db::getInstance()->execute('DELETE FROM ' . _DB_PREFIX_ . 'product_attachmentWHERE id_product = ' . (int) $idProduct);        Product::updateCacheAttachment((int) $idProduct);        return $res;    }    /**     * Associate $id_product to the current object.     *     * @param int $idProduct id of the product to associate     *     * @return bool true if success     */    public function attachProduct($idProduct)    {        return static::associateProductAttachment((int) $idProduct, (int) $this->id);    }    /**     * @param int $productId     * @param int $attachmentId     *     * @return bool true if success     */    public static function associateProductAttachment(int $productId, int $attachmentId): bool    {        $res = Db::getInstance()->execute('INSERT INTO ' . _DB_PREFIX_ . 'product_attachment(id_attachment, id_product) VALUES(' . $attachmentId . ', ' . $productId . ')');        Product::updateCacheAttachment($productId);        return $res;    }    /**     * Associate an array of id_attachment $array to the product $id_product     * and remove eventual previous association.     *     * @param int $idProduct Product ID     * @param array $array Attachment IDs     *     * @return bool Whether the attachments have been successfully associated with the Product     */    public static function attachToProduct($idProduct, $array)    {        $result1 = Attachment::deleteProductAttachments($idProduct);        if (is_array($array)) {            $ids = [];            foreach ($array as $idAttachment) {                if ((int) $idAttachment > 0) {                    $ids[] = ['id_product' => (int) $idProduct, 'id_attachment' => (int) $idAttachment];                }            }            if (!empty($ids)) {                $result2 = Db::getInstance()->insert('product_attachment', $ids);            }        }        Product::updateCacheAttachment((int) $idProduct);        if (is_array($array)) {            return $result1 && (!isset($result2) || $result2);        }        return $result1;    }    /**     * Get Attachment IDs for the given Product within the given range of attachment IDs.     *     * @param int $idLang Language ID     * @param array $list List of attachment IDs in which to search     *     * @return array|bool List of attachment IDs found. False if nothing found.     */    public static function getProductAttached($idLang, $list)    {        if (!is_array($list)) {            return false;        }        $idsAttachments = array_column($list, 'id_attachment');        $sql = 'SELECT * FROM `' . _DB_PREFIX_ . 'product_attachment` pa ' .             'LEFT JOIN `' . _DB_PREFIX_ . 'product_lang` pl ON (pa.`id_product` = pl.`id_product`' . Shop::addSqlRestrictionOnLang('pl') . ') ' .             'WHERE `id_attachment` IN (' . implode(',', array_map('intval', $idsAttachments)) . ') ' .             'AND pl.`id_lang` = ' . (int) $idLang;        $tmp = Db::getInstance()->executeS($sql);        $productAttachments = [];        foreach ($tmp as $t) {            $productAttachments[$t['id_attachment']][] = $t['name'];        }        return $productAttachments;    }    /**     * Get attachment products ids of current attachment for association.     *     * @return array<int, array{ id: string }> An array of product ids     */    public function getWsProducts(): array    {        return Db::getInstance()->executeS(            'SELECT p.`id_product` AS id ' .            'FROM `' . _DB_PREFIX_ . 'product_attachment` pa ' .            'INNER JOIN `' . _DB_PREFIX_ . 'product` p ON (p.id_product = pa.id_product) ' .            '' . Shop::addSqlAssociation('product', 'p') . ' ' .            'WHERE pa.`id_attachment` = ' . (int) $this->id        );    }    /**     * Set products ids of current attachment for association.     *     * @param array<int, array{id: int|string }> $products Products ids     *     * @return bool     */    public function setWsProducts(array $products): bool    {        $this->deleteAttachments(true);        foreach ($products as $product) {            Db::getInstance()->execute('INSERT INTO `' . _DB_PREFIX_ . 'product_attachment` (`id_product`, `id_attachment`) VALUES (' . (int) $product['id'] . ', ' . (int) $this->id . ')');            Product::updateCacheAttachment((int) $product['id']);        }        return true;    }}",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrestaShop_PrestaShop_AddressFormat_806, Get Address format from DB.\\n\\n @param int $idCountry Country ID\\n\\n @return false|string|null Address format\\n\\n @since 1.7.0\\n,Dohvati format adrese iz baze podataka.,"    protected function getFormatDB($idCountry)    {        if (!Cache::isStored('AddressFormat::getFormatDB' . $idCountry)) {            $format = Db::getInstance()->getValue('SELECT formatFROM `' . _DB_PREFIX_ . $this->def['table'] . '`WHERE `id_country` = ' . (int) $idCountry);            $format = trim($format);            Cache::store('AddressFormat::getFormatDB' . $idCountry, $format);            return $format;        }        return Cache::retrieve('AddressFormat::getFormatDB' . $idCountry);    }",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrestaShop_PrestaShop_Address_779, Get Zone ID for a given address.\\\\n\\\\n @param int $id_address Address ID for which we want to get the Zone ID\\\\n\\\\n @return int Zone ID\\\\n,Dohvati identifikator zone na osnovu adrese.,"    public static function getZoneById($id_address)    {        if (!isset($id_address) || empty($id_address)) {            return false;        }        if (isset(self::$_idZones[$id_address])) {            return self::$_idZones[$id_address];        }        $id_zone = Hook::exec('actionGetIDZoneByAddressID', ['id_address' => $id_address]);        if (is_numeric($id_zone)) {            self::$_idZones[$id_address] = (int) $id_zone;            return self::$_idZones[$id_address];        }        $result = Db::getInstance(_PS_USE_SQL_SLAVE_)->getRow('SELECT s.`id_zone` AS id_zone_state, c.`id_zone`FROM `' . _DB_PREFIX_ . 'address` aLEFT JOIN `' . _DB_PREFIX_ . 'country` c ON c.`id_country` = a.`id_country`LEFT JOIN `' . _DB_PREFIX_ . 'state` s ON s.`id_state` = a.`id_state`WHERE a.`id_address` = ' . (int) $id_address);        if (empty($result['id_zone_state']) && empty($result['id_zone'])) {            return false;        }        self::$_idZones[$id_address] = !empty($result['id_zone_state'])            ? (int) $result['id_zone_state']            : (int) $result['id_zone'];        return self::$_idZones[$id_address];    }",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrestaShop_PrestaShop_Address_781, Request to check if DNI field is required\\\\\\\\n depending on the current selected country.\\\\\\\\n\\\\\\\\n @param int $idCountry\\\\\\\\n\\\\\\\\n @return bool\\\\\\\\n,Pošalji zahtev za proveru da li je potreno polje za DNS u zavisnosti od trenutno izabrane države.,    public static function dniRequired($idCountry)    {        return (bool) Db::getInstance(_PS_USE_SQL_SLAVE_)->getValue(            'SELECT c.`need_identification_number` ' .            'FROM `' . _DB_PREFIX_ . 'country` c ' .            'WHERE c.`id_country` = ' . (int) $idCountry        );    },3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
briannesbitt_Carbon_CarbonTimeZone_361, Convert a total minutes offset into a standardized timezone offset string.\\\\n\\\\n @param float $minutes number of total minutes of the timezone shift.\\\\n\\\\n @return string\\\\n,Konvertuj ukupan broj minuta u string pomeraj vremenske zone.,"    public static function getOffsetNameFromMinuteOffset(float $minutes): string    {        $minutes = round($minutes);        $unsignedMinutes = abs($minutes);        return ($minutes < 0 ? '-' : '+').            str_pad((string) floor($unsignedMinutes / 60), 2, '0', STR_PAD_LEFT).            ':'.            str_pad((string) ($unsignedMinutes % 60), 2, '0', STR_PAD_LEFT);    }",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dompdf_dompdf_Helpers_613, Converts decimal numbers to roman numerals\n\n @param int $num\n\n @throws Exception\n @return string\n,Pretvori decimalane u rimske brojeve.,"    public static function dec2roman($num)    {        static $ones = ["""", ""i"", ""ii"", ""iii"", ""iv"", ""v"", ""vi"", ""vii"", ""viii"", ""ix""];        static $tens = ["""", ""x"", ""xx"", ""xxx"", ""xl"", ""l"", ""lx"", ""lxx"", ""lxxx"", ""xc""];        static $hund = ["""", ""c"", ""cc"", ""ccc"", ""cd"", ""d"", ""dc"", ""dcc"", ""dccc"", ""cm""];        static $thou = ["""", ""m"", ""mm"", ""mmm""];        if (!is_numeric($num)) {            throw new Exception(""dec2roman() requires a numeric argument."");        }        if ($num > 4000 || $num < 0) {            return ""(out of range)"";        }        $num = strrev((string)$num);        $ret = """";        switch (mb_strlen($num)) {            /** @noinspection PhpMissingBreakStatementInspection */            case 4:                $ret .= $thou[$num[3]];            /** @noinspection PhpMissingBreakStatementInspection */            case 3:                $ret .= $hund[$num[2]];            /** @noinspection PhpMissingBreakStatementInspection */            case 2:                $ret .= $tens[$num[1]];            /** @noinspection PhpMissingBreakStatementInspection */            case 1:                $ret .= $ones[$num[0]];            default:                break;        }        return $ret;    }",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firefly-iii_firefly-iii_AccountController_772, Class AccountController\n,Klasa za upravljanje nalogom.,"class AccountController extends Controller{    use AccountFilter;    private array                      $balanceTypes;    private AccountRepositoryInterface $repository;    /**     * AccountController constructor.     */    public function __construct()    {        parent::__construct();        $this->middleware(            function ($request, $next) {                /** @var User $user */                $user             = auth()->user();                $this->repository = app(AccountRepositoryInterface::class);                $this->repository->setUser($user);                return $next($request);            }        );        $this->balanceTypes = [AccountType::ASSET, AccountType::LOAN, AccountType::DEBT, AccountType::MORTGAGE,];    }    /**     * @param AutocompleteRequest $request     *     * @return JsonResponse     */    public function accounts(AutocompleteRequest $request): JsonResponse    {        $data  = $request->getData();        $types = $data['types'];        $query = $data['query'];        $date  = $data['date'] ?? today(config('app.timezone'));        $return          = [];        $result          = $this->repository->searchAccount((string)$query, $types, $data['limit']);        $defaultCurrency = app('amount')->getDefaultCurrency();        /** @var Account $account */        foreach ($result as $account) {            $nameWithBalance = $account->name;            $currency        = $this->repository->getAccountCurrency($account) ?? $defaultCurrency;            if (in_array($account->accountType->type, $this->balanceTypes, true)) {                $balance         = app('steam')->balance($account, $date);                $nameWithBalance = sprintf('%s (%s)', $account->name, app('amount')->formatAnything($currency, $balance, false));            }            $return[] = [                'id'                      => (string)$account->id,                'name'                    => $account->name,                'name_with_balance'       => $nameWithBalance,                'type'                    => $account->accountType->type,                'currency_id'             => $currency->id,                'currency_name'           => $currency->name,                'currency_code'           => $currency->code,                'currency_symbol'         => $currency->symbol,                'currency_decimal_places' => $currency->decimal_places,            ];        }        // custom order.        $order = [AccountType::ASSET, AccountType::REVENUE, AccountType::EXPENSE];        usort(            $return, function ($a, $b) use ($order) {            $pos_a = array_search($a['type'], $order);            $pos_b = array_search($b['type'], $order);            return $pos_a - $pos_b;        }        );        return response()->json($return);    }}",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paragonie_random_compat_random_bytes_com_dotnet_724," Windows with PHP < 5.3.0 will not have the function\n openssl_random_pseudo_bytes() available, so let's use\n CAPICOM to work around this deficiency.\n\n @param int $bytes\n\n @throws Exception\n\n @return string\n",Funkcija koja ispravlja nedostatak nepodržavanja funkcionalnosti za generisanje openssl slučajnog pseudo bajta na Windows PHP verziji manjoj od 5.3.0,"    function random_bytes($bytes)    {        try {            /** @var int $bytes */            $bytes = RandomCompat_intval($bytes);        } catch (TypeError $ex) {            throw new TypeError(                'random_bytes(): $bytes must be an integer'            );        }        if ($bytes < 1) {            throw new Error(                'Length must be greater than 0'            );        }        /** @var string $buf */        $buf = '';        if (!class_exists('COM')) {            throw new Error(                'COM does not exist'            );        }        /** @var COM $util */        $util = new COM('CAPICOM.Utilities.1');        $execCount = 0;        /**         * Let's not let it loop forever. If we run N times and fail to         * get N bytes of random data, then CAPICOM has failed us.         */        do {            $buf .= base64_decode((string) $util->GetRandom($bytes, 0));            if (RandomCompat_strlen($buf) >= $bytes) {                /**                 * Return our random entropy buffer here:                 */                return (string) RandomCompat_substr($buf, 0, $bytes);            }            ++$execCount;        } while ($execCount < $bytes);        /**         * If we reach here, PHP has failed us.         */        throw new Exception(            'Could not gather sufficient random data'        );    }",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fzaninotto_Faker_Inn_930, Generates INN Checksum\\n\\n https://ru.wikipedia.org/wiki/%D0%98%D0%B4%D0%B5%D0%BD%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BD%D0%BE%D0%BC%D0%B5%D1%80_%D0%BD%D0%B0%D0%BB%D0%BE%D0%B3%D0%BE%D0%BF%D0%BB%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D1%89%D0%B8%D0%BA%D0%B0\\n\\n @param string $inn\\n @return string Checksum (one digit)\\n,Generiši GNI kontrolnu sumu.,"    public static function checksum($inn)    {        $multipliers = array(1 => 2, 2 => 4, 3 => 10, 4 => 3, 5 => 5, 6 => 9, 7 => 4, 8 => 6, 9 => 8);        $sum = 0;        for ($i = 1; $i <= 9; $i++) {            $sum += intval(substr($inn, $i-1, 1)) * $multipliers[$i];        }        return strval(($sum % 11) % 10);    }",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
