pair_id,comment,Komentar,code,"upit
","pretvaranje int u string
","red sa prioritetom
","pretvaranje string u datum
","sortiranje string liste
","Äuvanje liste u datoteku
","postgresql konekcija
","konfuziona matrica
","postavljanje radnog direktorijuma
","grupisanje po izbrojanim podacima
","binomna raspodela
","aes Å¡ifrovanje
","linearna regresija
","vreme tolerisanja za prijem na soketu
","upisivanje u csv datoteku
","pretvaranje decimalnog u heksadecimalni broj
","izvoz podataka u excel
","dijagram rasejanja
","pretvaranje json u csv
","lepo ispiÅ¡i json
","zamena delova datoteke
","klasterizacija metodom k-srednjih vrednosti
","povezivanje na sql server
","html Å¡ifrovan string
","odreÄ‘ivanje proteklog vremena koriÅ¡Ä‡enjem Äasovnika
","parsiranje binarne datoteke u prilagoÄ‘enu klasu
","dohvatanje trenutne ip adrese
","pretvaranje int u bool
","isÄitavanje tekstualne datoteke liniju po liniju
","dohvatanje putanje izvrÅ¡avanja
","odprema json datoteke pomoÄ‡u HttpClient POST zahteva
","dohvatanje unutraÅ¡njeg svojstva html taga
","pretvaranje string u broj
","formatiranje datuma
","nepromenjivi (readonly) niz
","filtriranje niza
","mapa u json
","parsiranje json datoteke
","dohvati trenutnu vrednost posmatraÄa
","dohvati naziv za vrednost enumerisanog tipa podatka
","Å¡ifriraj url
","kreiraj kolaÄiÄ‡
","kako isprazniti niz
","kako dohvatiti danaÅ¡nji datum
","kako Å¡tiklirati checkbox
","inicijalizacija niza
","kako obrnuti string
","proÄitaj svojstva datoteke
","prekopiraj u klibord
","pretvaranje html stranice u pdf
","konverzija json u xml datoteku
","kako nasumiÄno izabrati broj
","normalna raspodela
","Nelder-Mead optimizacija
","hashset za odreÄ‘ivanje broja razliÄitih elemenata
","kako dohvatiti naziv tabele iz baze
","deserializacija json-a
","pronaÄ‘i int unutar stringa
","dohvatanje jedinstvenog identifikatora trenutnog procesa
","regex ne razlikuje velika i mala slova
","prilagoÄ‘eni http odgovor greÅ¡ke
","kako odrediti da li je string valida reÄ
","zamena http entiteta
","sakrij atribute datoteke
","sortiraj viÅ¡e nizova na osnovu redosleda drugih sortiranih nizova
","levenshteinova slicnost stringova
","kako dohvatiti html kod sa veb sajta
","baferisano Äitanje teksta ÄitaÄem fajlova
","aes Å¡ifrovanje u ctr naÄinu rada
","matrica mnoÅ¾enja
","Å¡tampanje rezimea modela
","jedinstveni elementi
","izvlaÄenje podataka iz sadrÅ¾aja html koda
","toplotna mapa iz 3d koordinata
","dohvatanje svih roditelja xml Ävora
","kako rekurzivno raspakovati zip datoteku
","podvuci tekst u label vidÅ¾etu
","raspakivanje velikih datoteka
","kopiranje putanje fajla
","dohvati opis http statusnog koda
","nasumiÄno izvuci x stavki iz liste
","konvertuj string datum u yyyymmdd format
","pretvoriti utc vreme u epohu
","sve permutacije liste
","izvuci geografsku Å¡irinu i duÅ¾inu iz datog unosa
","kako proveriti da je checkbox Å¡tikliran
","pretvoriti uint8 niz u sliku
","memoizacija na disk - persistentna memoizacija
","parsiranje argumenata komandne linije
","kako proÄitati sadrÅ¾aj iz .gz zapakovanog fajla
","slanje binarnih podataka preko seriske veze
","otpakovanje podataka iz tekstualne datoteke
","pozicije podstingova u stringu
","Äitanje elemenata iz html-a - <td>
","oduzimanje medijana iz svake kolone
","uklanjanja zaglavlja prilikom spajanja nekoliko datoteka
","parsiranje query stringa u url-u
","rangiranje fazi Älanova na osnovu stepena podudaranja
","izlaz u html datoteku
",kako efikasno proÄitati .csv datoteku
cakephp_cakephp_BaseAuthenticate_1177, Get query object for fetching user from database.\\\\n\\\\n @param string $username The username/identifier.\\\\n @return \\\\\\\\Cake\\\\\\\\ORM\\\\\\\\Query\\\\n,Dohvatanje objekta iz upita radi preuzimanja podataka o korisniku iz baze podataka,"    protected function _query(string $username): Query    {        $config = $this->_config;        $table = $this->getTableLocator()->get($config['userModel']);        $options = [            'conditions' => [$table->aliasField($config['fields']['username']) => $username],        ];        $finder = $config['finder'];        if (is_array($finder)) {            $options += current($finder);            $finder = key($finder);        }        if (!isset($options['username'])) {            $options['username'] = $username;        }        return $table->find($finder, $options);    }",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrestaShop_PrestaShop_Alias_810, Get all found aliases from DB with search query.\\n\\n @return string Comma separated aliases\\n,Dohvatanje svih pronađenih pseudonima iz baze podataka pomoću upita za pretragu,"    public function getAliases()    {        if (!Alias::isFeatureActive()) {            return '';        }        $aliases = Db::getInstance()->executeS('SELECT a.aliasFROM `' . _DB_PREFIX_ . 'alias` aWHERE `search` = \'' . pSQL($this->search) . '\'');        $aliases = array_map('implode', $aliases);        return implode(', ', $aliases);    }",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wallabag_wallabag_AnnotationRepository_2416, Retrieves all annotations for a user.\n\n @param int $userId\n\n @return QueryBuilder\n,Dohvata sve napomene za korisnika,"    public function findAnnotationsByPageId($entryId, $userId)    {        return $this->createQueryBuilder('a')            ->where('a.entry = :entryId')->setParameter('entryId', $entryId)            ->andwhere('a.user = :userId')->setParameter('userId', $userId)            ->getQuery()            ->getResult()        ;    }",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
symfony_http-foundation_Request_7937, Generates a normalized URI (URL) for the Request.\n\n @return string A normalized URI (URL) for the Request\n\n @see getQueryString()\n,Generiše normalizovani URI (URL) za zahtev,    public function getUri()    {        if (null !== $qs = $this->getQueryString()) {            $qs = '?'.$qs;        }        return $this->getSchemeAndHttpHost().$this->getBaseUrl().$this->getPathInfo().$qs;    },2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrestaShop_PrestaShop_Address_786, Returns Address ID for a given Supplier ID.\\n\\n @since 1.5.0\\n\\n @param int $id_supplier Supplier ID\\n\\n @return int $id_address Address ID\\n,Vraća ID adrese za dati ID dobavljača,    public static function getAddressIdBySupplierId($id_supplier)    {        $query = new DbQuery();        $query->select('id_address');        $query->from('address');        $query->where('id_supplier = ' . (int) $id_supplier);        $query->where('deleted = 0');        $query->where('id_customer = 0');        $query->where('id_manufacturer = 0');        $query->where('id_warehouse = 0');        return Db::getInstance(_PS_USE_SQL_SLAVE_)->getValue($query);    },3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrestaShop_PrestaShop_Address_787, Check if the alias already exists.\\\\n\\\\n @param string $alias Alias of an address\\\\n @param int $id_address Address id\\\\n @param int $id_customer Customer id\\\\n\\\\n @return false|string|null Amount of aliases found\\\\n @todo: Find out if we shouldn't be returning an int instead? (breaking change)\\\\n,Proverava da li pseudonim već postoji,"    public static function aliasExist($alias, $id_address, $id_customer)    {        $query = new DbQuery();        $query->select('count(*)');        $query->from('address');        $query->where('alias = \'' . pSQL($alias) . '\'');        $query->where('id_address != ' . (int) $id_address);        $query->where('id_customer = ' . (int) $id_customer);        $query->where('deleted = 0');        return Db::getInstance(_PS_USE_SQL_SLAVE_)->getValue($query, false);    }",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrestaShop_PrestaShop_Alias_812, This method is allow to know if a alias exist for AdminImportController.\\\\\\\\n\\\\\\\\n @param int $idAlias Alias ID\\\\\\\\n\\\\\\\\n @return bool\\\\\\\\n\\\\\\\\n @since 1.5.6.0\\\\\\\\n,Ovaj metod dozvoljava da se zna postoji li pseudonim za AdminImportController,"    public static function aliasExists($idAlias)    {        $sql = new DbQuery();        $sql->select('a.`id_alias`');        $sql->from('alias', 'a');        $sql->where('a.`id_alias` = ' . (int) $idAlias);        $row = Db::getInstance(_PS_USE_SQL_SLAVE_)->getRow($sql, false);        return isset($row['id_alias']);    }",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getgrav_grav_Grav_1205," This attempts to find media, other files, and download them\n\n @param string $path\n @return PageInterface|false\n","Pokušava da pronađe medije, druge datoteke i preuzme ih","    public function fallbackUrl($path)    {        $this->fireEvent('onPageFallBackUrl');        /** @var Uri $uri */        $uri = $this['uri'];        /** @var Config $config */        $config = $this['config'];        $uri_extension = strtolower($uri->extension());        $fallback_types = $config->get('system.media.allowed_fallback_types', null);        $supported_types = $config->get('media.types');        // Check whitelist first, then ensure extension is a valid media type        if (!empty($fallback_types) && !in_array($uri_extension, $fallback_types, true)) {            return false;        }        if (!array_key_exists($uri_extension, $supported_types)) {            return false;        }        $path_parts = pathinfo($path);        /** @var Pages $pages */        $pages = $this['pages'];        $page = $pages->find($path_parts['dirname'], true);        if ($page) {            $media = $page->media()->all();            $parsed_url = parse_url(rawurldecode($uri->basename()));            $media_file = $parsed_url['path'];            // if this is a media object, try actions first            if (isset($media[$media_file])) {                /** @var Medium $medium */                $medium = $media[$media_file];                foreach ($uri->query(null, true) as $action => $params) {                    if (in_array($action, ImageMedium::$magic_actions, true)) {                        call_user_func_array([&$medium, $action], explode(',', $params));                    }                }                Utils::download($medium->path(), false);            }            // unsupported media type, try to download it...            if ($uri_extension) {                $extension = $uri_extension;            } else {                if (isset($path_parts['extension'])) {                    $extension = $path_parts['extension'];                } else {                    $extension = null;                }            }            if ($extension) {                $download = true;                if (in_array(ltrim($extension, '.'), $config->get('system.media.unsupported_inline_types', []), true)) {                    $download = false;                }                Utils::download($page->path() . DIRECTORY_SEPARATOR . $uri->basename(), $download);            }            // Nothing found            return false;        }        return $page;    }",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guzzle_guzzle_Client_9, Applies the array of request options to a request.\\n,Primenjuje niz opcionih zahteva na zahtev,"    private function applyOptions(RequestInterface $request, array &$options): RequestInterface    {        $modify = [            'set_headers' => [],        ];        if (isset($options['headers'])) {            $modify['set_headers'] = $options['headers'];            unset($options['headers']);        }        if (isset($options['form_params'])) {            if (isset($options['multipart'])) {                throw new InvalidArgumentException('You cannot use '                    . 'form_params and multipart at the same time. Use the '                    . 'form_params option if you want to send application/'                    . 'x-www-form-urlencoded requests, and the multipart '                    . 'option to send multipart/form-data requests.');            }            $options['body'] = \http_build_query($options['form_params'], '', '&');            unset($options['form_params']);            // Ensure that we don't have the header in different case and set the new value.            $options['_conditional'] = Psr7\Utils::caselessRemove(['Content-Type'], $options['_conditional']);            $options['_conditional']['Content-Type'] = 'application/x-www-form-urlencoded';        }        if (isset($options['multipart'])) {            $options['body'] = new Psr7\MultipartStream($options['multipart']);            unset($options['multipart']);        }        if (isset($options['json'])) {            $options['body'] = Utils::jsonEncode($options['json']);            unset($options['json']);            // Ensure that we don't have the header in different case and set the new value.            $options['_conditional'] = Psr7\Utils::caselessRemove(['Content-Type'], $options['_conditional']);            $options['_conditional']['Content-Type'] = 'application/json';        }        if (!empty($options['decode_content'])            && $options['decode_content'] !== true        ) {            // Ensure that we don't have the header in different case and set the new value.            $options['_conditional'] = Psr7\Utils::caselessRemove(['Accept-Encoding'], $options['_conditional']);            $modify['set_headers']['Accept-Encoding'] = $options['decode_content'];        }        if (isset($options['body'])) {            if (\is_array($options['body'])) {                throw $this->invalidBody();            }            $modify['body'] = Psr7\Utils::streamFor($options['body']);            unset($options['body']);        }        if (!empty($options['auth']) && \is_array($options['auth'])) {            $value = $options['auth'];            $type = isset($value[2]) ? \strtolower($value[2]) : 'basic';            switch ($type) {                case 'basic':                    // Ensure that we don't have the header in different case and set the new value.                    $modify['set_headers'] = Psr7\Utils::caselessRemove(['Authorization'], $modify['set_headers']);                    $modify['set_headers']['Authorization'] = 'Basic '                        . \base64_encode(""$value[0]:$value[1]"");                    break;                case 'digest':                    // @todo: Do not rely on curl                    $options['curl'][\CURLOPT_HTTPAUTH] = \CURLAUTH_DIGEST;                    $options['curl'][\CURLOPT_USERPWD] = ""$value[0]:$value[1]"";                    break;                case 'ntlm':                    $options['curl'][\CURLOPT_HTTPAUTH] = \CURLAUTH_NTLM;                    $options['curl'][\CURLOPT_USERPWD] = ""$value[0]:$value[1]"";                    break;            }        }        if (isset($options['query'])) {            $value = $options['query'];            if (\is_array($value)) {                $value = \http_build_query($value, '', '&', \PHP_QUERY_RFC3986);            }            if (!\is_string($value)) {                throw new InvalidArgumentException('query must be a string or array');            }            $modify['query'] = $value;            unset($options['query']);        }        // Ensure that sink is not an invalid value.        if (isset($options['sink'])) {            // TODO: Add more sink validation?            if (\is_bool($options['sink'])) {                throw new InvalidArgumentException('sink must not be a boolean');            }        }        $request = Psr7\Utils::modifyRequest($request, $modify);        if ($request->getBody() instanceof Psr7\MultipartStream) {            // Use a multipart/form-data POST if a Content-Type is not set.            // Ensure that we don't have the header in different case and set the new value.            $options['_conditional'] = Psr7\Utils::caselessRemove(['Content-Type'], $options['_conditional']);            $options['_conditional']['Content-Type'] = 'multipart/form-data; boundary='                . $request->getBody()->getBoundary();        }        // Merge in conditional headers if they are not present.        if (isset($options['_conditional'])) {            // Build up the changes so it's in a single clone of the message.            $modify = [];            foreach ($options['_conditional'] as $k => $v) {                if (!$request->hasHeader($k)) {                    $modify['set_headers'][$k] = $v;                }            }            $request = Psr7\Utils::modifyRequest($request, $modify);            // Don't pass this internal value along to middleware/handlers.            unset($options['_conditional']);        }        return $request;    }",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matomo-org_matomo_InvalidVisits_265, Adds one site and sends several invalid tracking requests. The result should be\\n one website with no visits.\\n,Dodaje jedan vebsajt i šalje nekoliko nevažećih zahteva za praćenje. Rezultat bi trebalo da bude jedan vebsajt bez poseta,"class InvalidVisits extends Fixture{    public $idSite = 1;    public $dateTime = '2009-01-04 00:11:42';    public $trackInvalidRequests = true;    public function setUp(): void    {        $this->setUpWebsitesAndGoals();        $this->trackVisits();    }    public function tearDown(): void    {        // empty    }    private function setUpWebsitesAndGoals()    {        if (!self::siteCreated($idSite = 1)) {            self::createWebsite($this->dateTime);        }    }    private function trackVisits()    {        if (!$this->trackInvalidRequests) {            return;        }        $dateTime = $this->dateTime;        $idSite = $this->idSite;        API::getInstance()->setGlobalExcludedUserAgents('globalexcludeduseragent');        Cache::regenerateCacheWebsiteAttributes([1]);        // Trigger empty request        $trackerUrl = self::getTrackerUrl();        $response = Http::fetchRemoteFile($trackerUrl);        self::assertTrue(strpos($response, 'Keep full control of your data with the leading free') !== false, 'Piwik empty request response not correct: ' . $response);        $t = self::getTracker($idSite, $dateTime, $defaultInit = true);        // test GoogleBot UA visitor        $t->setUserAgent('Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)');        self::checkResponse($t->doTrackPageView('bot visit, please do not record'));        // Test IP Exclusion works with or without IP exclusion        foreach (array(false, true) as $enable) {            $excludedIp = '154.1.12.34';            API::getInstance()->updateSite($idSite, 'new site name', $url = array('http://site.com'), $ecommerce = 0, $ss = 1, $ss_kwd = '', $ss_cat = '', $excludedIp . ',1.2.3.4', $excludedQueryParameters = null, $timezone = null, $currency = null, $group = null, $startDate = null, $excludedUserAgents = 'excludeduseragentstring');            Cache::regenerateCacheWebsiteAttributes([1]);            // Enable IP Anonymization            $t->DEBUG_APPEND_URL = '&forceIpAnonymization=' . (int)$enable;            // test with excluded User Agent            $t->setUserAgent('Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.9.2.6) Gecko/20100625 Firefox/3.6.6 (.NET CLR 3.5.30729) (excludeduseragentstring)');            $t->setIp('211.1.2.3');            self::checkResponse($t->doTrackPageView('visit from excluded User Agent'));            $t->setUserAgent('Mozilla/5.0 (Windows NT 6.1; rv:6.0) Gecko/20110814 Firefox/6.0 Google (+https://developers.google.com/+/web/snippet/)');            self::checkResponse($t->doTrackPageView('visit from excluded User Agent'));            // test w/ global excluded User Agent            $t->setUserAgent('Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.9.2.6) Gecko/20100625 Firefox/3.6.6 (.NET CLR 3.5.30729) (globalexcludeduseragent)');            $t->setIp('211.1.2.3');            self::checkResponse($t->doTrackPageView('visit from global excluded User Agent'));            // test with excluded IP            $t->setUserAgent('Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.9.2.6) Gecko/20100625 Firefox/3.6.6 (.NET CLR 3.5.30729)'); // restore normal user agent            $t->setIp($excludedIp);            self::checkResponse($t->doTrackPageView('visit from IP excluded'));            // test with global list of excluded IPs            $excludedIpBis = '145.5.3.4';            API::getInstance()->setGlobalExcludedIps($excludedIpBis);            Cache::regenerateCacheWebsiteAttributes([1]);            $t->setIp($excludedIpBis);            self::checkResponse($t->doTrackPageView('visit from IP globally excluded'));        }        // test unknown url exclusion works        $urls = array(""http://piwik.net"", ""http://my.stuff.com/"");        API::getInstance()->updateSite($idSite, $siteName = null, $urls, $ecommerce = null, $siteSearch = null,            $searchKeywordParameters = null, $searchCategoryParameters = null, $excludedIps = null, $excludedQueryParams = null,            $timezone = null, $currency = null, $group = null, $startDate = null, $excludedUserAgents = null,            $keepUrlFragments = null, $type = null, $settings = null, $excludeUnknownUrls = 1);        Cache::regenerateCacheWebsiteAttributes([1]);        $t->setIp(""125.4.5.6"");        $t->setUrl(""http://piwik.com/to/the/moon"");        $t->doTrackPageView(""ignored, not from piwik.net"");        $t->setUrl(""http://their.stuff.com/back/to/the/future"");        $t->doTrackPageView(""ignored, not from my.stuff.com"");        // undo exclude unknown urls change (important when multiple fixtures are setup together, as is done in OmniFixture)        API::getInstance()->updateSite($idSite, $siteName = null, $urls, $ecommerce = null, $siteSearch = null,            $searchKeywordParameters = null, $searchCategoryParameters = null, $excludedIps = null, $excludedQueryParams = null,            $timezone = null, $currency = null, $group = null, $startDate = null, $excludedUserAgents = null,            $keepUrlFragments = null, $type = null, $settings = null, $excludeUnknownUrls = 0);        Cache::regenerateCacheWebsiteAttributes([1]);        try {            @$t->setAttributionInfo(array());            self::fail();        } catch (Exception $e) {        }        try {            $t->setAttributionInfo(json_encode('test'));            self::fail();        } catch (Exception $e) {        }        $t->setAttributionInfo(json_encode(array()));    }}",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
